t,rho_0_0_re,rho_0_0_im,rho_0_1_re,rho_0_1_im,rho_1_0_re,rho_1_0_im,rho_1_1_re,rho_1_1_im
0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.010000000,0.999800502,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000199498,0.000000000
0.020000000,0.999402602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000597398,0.000000000
0.030000000,0.998807524,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001192476,0.000000000
0.040000000,0.998016625,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001983375,0.000000000
0.050000000,0.997031389,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002968611,0.000000000
0.060000000,0.995853421,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004146579,0.000000000
0.070000000,0.994484451,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.005515549,0.000000000
0.080000000,0.992926326,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.007073674,0.000000000
0.090000000,0.991181008,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.008818992,0.000000000
0.100000000,0.989250570,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010749430,0.000000000
0.110000000,0.987137195,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.012862805,0.000000000
0.120000000,0.984843172,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.015156828,0.000000000
0.130000000,0.982370889,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.017629111,0.000000000
0.140000000,0.979722833,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.020277167,0.000000000
0.150000000,0.976901588,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.023098412,0.000000000
0.160000000,0.973909824,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.026090176,0.000000000
0.170000000,0.970750301,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.029249699,0.000000000
0.180000000,0.967425862,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.032574138,0.000000000
0.190000000,0.963939427,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.036060573,0.000000000
0.200000000,0.960293994,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.039706006,0.000000000
