t,rho_0_0_re,rho_0_0_im,rho_0_1_re,rho_0_1_im,rho_1_0_re,rho_1_0_im,rho_1_1_re,rho_1_1_im
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.100000,0.002498,0.000000,-0.000500,0.049913,-0.000500,-0.049913,0.997502,0.000000
0.200000,0.009966,0.000000,-0.001993,0.099308,-0.001993,-0.099308,0.990034,0.000000
0.300000,0.022326,0.000000,-0.004465,0.147671,-0.004465,-0.147671,0.977674,0.000000
0.400000,0.039450,0.000000,-0.007889,0.194499,-0.007889,-0.194499,0.960550,0.000000
0.500000,0.061159,0.000000,-0.012231,0.239306,-0.012231,-0.239306,0.938841,0.000000
0.600000,0.087229,0.000000,-0.017444,0.281626,-0.017444,-0.281626,0.912771,0.000000
0.700000,0.117387,0.000000,-0.023476,0.321020,-0.023476,-0.321020,0.882613,0.000000
0.800000,0.151322,0.000000,-0.030262,0.357079,-0.030262,-0.357079,0.848678,0.000000
0.900000,0.188680,0.000000,-0.037733,0.389426,-0.037733,-0.389426,0.811320,0.000000
1.000000,0.229073,0.000000,-0.045811,0.417728,-0.045811,-0.417728,0.770927,0.000000
1.100000,0.272081,0.000000,-0.054413,0.441688,-0.054413,-0.441688,0.727919,0.000000
1.200000,0.317258,0.000000,-0.063448,0.461060,-0.063448,-0.461060,0.682742,0.000000
1.300000,0.364134,0.000000,-0.072822,0.475640,-0.072822,-0.475640,0.635866,0.000000
1.400000,0.412222,0.000000,-0.082439,0.485278,-0.082439,-0.485278,0.587778,0.000000
1.500000,0.461022,0.000000,-0.092199,0.489873,-0.092199,-0.489873,0.538978,0.000000
1.600000,0.510027,0.000000,-0.102000,0.489378,-0.102000,-0.489378,0.489973,0.000000
1.700000,0.558728,0.000000,-0.111739,0.483798,-0.111739,-0.483798,0.441272,0.000000
1.800000,0.606619,0.000000,-0.121317,0.473190,-0.121317,-0.473190,0.393381,0.000000
1.900000,0.653202,0.000000,-0.130633,0.457666,-0.130633,-0.457666,0.346798,0.000000
2.000000,0.697994,0.000000,-0.139591,0.437386,-0.139591,-0.437386,0.302006,0.000000
2.100000,0.740528,0.000000,-0.148098,0.412561,-0.148098,-0.412561,0.259472,0.000000
2.200000,0.780364,0.000000,-0.156064,0.383450,-0.156064,-0.383450,0.219636,0.000000
2.300000,0.817086,0.000000,-0.163408,0.350354,-0.163408,-0.350354,0.182914,0.000000
2.400000,0.850313,0.000000,-0.170053,0.313617,-0.170053,-0.313617,0.149687,0.000000
2.500000,0.879700,0.000000,-0.175930,0.273622,-0.175930,-0.273622,0.120300,0.000000
2.600000,0.904943,0.000000,-0.180978,0.230783,-0.180978,-0.230783,0.095057,0.000000
2.700000,0.925777,0.000000,-0.185144,0.185546,-0.185144,-0.185546,0.074223,0.000000
2.800000,0.941987,0.000000,-0.188386,0.138382,-0.188386,-0.138382,0.058013,0.000000
2.900000,0.953405,0.000000,-0.190669,0.089779,-0.190669,-0.089779,0.046595,0.000000
3.000000,0.959912,0.000000,-0.191970,0.040244,-0.191970,-0.040244,0.040088,0.000000
3.100000,0.961440,0.000000,-0.192275,-0.009710,-0.192275,0.009710,0.038560,0.000000
3.200000,0.957973,0.000000,-0.191581,-0.059562,-0.191581,0.059562,0.042027,0.000000
3.300000,0.949548,0.000000,-0.189896,-0.108796,-0.189896,0.108796,0.050452,0.000000
